war,tl
"May-ada hiya anak nga ginngaranan nga Saul, gwapo ngan batan-on. Hiruhitaas hiya hin bisan hin-o nga tawo didto ha Israel ngan waray makakalabaw ha iya hin ka gwapo.","Siya'y may isang anak na lalaki na ang pangala'y Saul, isang makisig na kabataan. Sa mga anak ni Israel ay walang higit na makisig na lalaki kaysa kanya. Mula sa kanyang mga balikat paitaas ay higit siyang matangkad kaysa sinuman sa taong-bayan."
"Nagsarang in mga asno ni Cis, sanglit nagsiring hiya kan Saul, “Paupda ha imo in usa han mga surugoon ngan pamilnga an mga asno.”","Noon ang mga asno ni Kish na ama ni Saul ay nawawala. At sinabi ni Kish kay Saul na kanyang anak, “Isama mo ngayon ang isa sa mga tauhan. Tumindig ka at hanapin mo ang mga asno.”"
"Ginsudoy nira an sagkahon nga katunaan han Efraim ngan han katunaan han Salisa, kundi waray hira makaagi. Sanglit nagpadayon hira hin pagsudoy han katunaan han Saalim, kundi waray didto an mga asno. Niyan nagsudoy hira han katunaan ni Benjamin, kundi waray gihapon nira hiagii an mga asno.","Siya'y dumaan sa lupaing maburol ng Efraim at sa lupain ng Salisa, ngunit hindi nila natagpuan. Dumaan sila sa lupain ng Saalim, ngunit wala roon; at sila'y dumaan sa lupain ng mga Benjaminita, ngunit hindi nila nakita roon."
"Han pag-abot nira han katunaan han Zuf, nagsiring hi Saul han iya surugoon, “Pangoli na kita, kay bangin an akon amay mabaraka na ha aton, diri na lugod han mga asno.”","Nang sila'y dumating sa lupain ng Zuf, sinabi ni Saul sa kanyang kasamang tauhan, “Tayo na, bumalik na tayo, baka ipagwalang-bahala ng aking ama ang mga asno at tayo ang alalahanin.”"
"Binmaton an surugoon, “Anay daw! Dinhe hini nga bungto may-ada baraan nga tawo, nga tinahod kaupay, kay natutuman an ngatanan nga iya ginpapamulong. Pakadto kita ha iya kay bangin makagsumat hiya ha aton kon hain ta hiaagii an mga asno.”","Ngunit sinabi niya sa kanya, “May isang tao ng Diyos sa lunsod na ito, siya'y isang lalaking iginagalang. Lahat ng kanyang sinasabi ay nagkakatotoo. Pumunta tayo roon, marahil ay masasabi niya sa atin ang tungkol sa paglalakbay na ating isinagawa.”"
"Pinmakiana hi Saul, “Kon kumadto kita ha iya, ano man in aton ighahatag ha iya? Naubos na an aton balon nga pagkaon ngan waray na gud kita sadang ihatag ha iya, di ba?”","Nang magkagayo'y sinabi ni Saul sa kanyang lingkod, “Ngunit kung tayo'y pupunta roon, ano ang ating dadalhin sa lalaki? Naubos na ang tinapay sa ating mga buslo at wala na tayong madadalang kaloob sa tao ng Diyos. Anong mayroon tayo?”"
"Binmaton an surugoon, “May-ada ako usa nga sensilyo nga salapi. Ihahatag ko ini ha iya, ngan susumatan kita niya kon hain ta hiaagii ini.”","Muling sumagot ang lingkod kay Saul, at nagsabi, “Mayroon akong ikaapat na bahagi ng isang siklong pilak; ibibigay ko ito sa tao ng Diyos upang sabihin sa atin ang ating paglalakbay.”"
"9-11 Binmaton hi Saul, “Maupay nga hunahuna! Tana.” Sanglit kinmadto hira han bungto nga inuokyan han baraan nga tawo. Han nasagka na hira han pungtod tipakadto han bungto, iginkasugat nira in kababayen-an nga nagkakagawas hin pag-alog. Ginpakianhan nira an kababayen-an, “Aanhi ba ha bungto an paratigo?”","(Noong una sa Israel, kapag ang isang tao ay sumasangguni sa Diyos, ay ganito ang sinasabi, “Halika, tayo'y pumaroon sa tagakita;” sapagkat ang tinatawag ngayon na propeta ay tinatawag noong una na tagakita.)"
"(Hadto nga panahon paratigo an tawag hin usa nga manaragna, sanglit kon may-ada karuyag pumakiana han Dyos, nasiring hiya, “Pakadto kita han paratigo.”)","Nang magkagayo'y sinabi ni Saul sa kanyang lingkod, “Mabuti ang sinasabi mo. Halika, tayo'y pumaroon.” Kaya't pumaroon sila sa bayang kinaroroonan ng tao ng Diyos."
"12-13 Binmaton an kababayen-an, “Oo, aanhi hiya. Ngani, nauuna la hiya ha iyo. Kon magdagmit kamo, hiaabutan niyo hiya. Ha pag sakob niyo han bungto, hiaagian niyo hiya. Inmabot hiya didto ha bungto yana nga adlaw, kay maghahalad an mga tawo didto ha altar han pungtod. Diri mangangaon an mga dinapit kon diri hiya umabot, kay iya anay bebendisyonan an halad nga tinubod. Kon kumadto kamo yana, hiaagian hiya niyo nga diri pa hiya masagka han pungtod hin pagkaon.”","Samantalang patungo sila sa bayan ay nakasalubong sila ng mga dalagang lumalabas upang umigib ng tubig, at sinabi nila sa kanila, “Narito ba ang tagakita?”"
"Sanglit nagpadayon hira Saul ngan an iya surugoon ngadto han bungto, ngan han nasulod na hira han bungto, hinkit-an nira hi Samuel nga nagawas tipakada ha ira ngan tipakadto na hiya han dapit hin pagsingba.","At sila'y sumagot sa kanila, “Siya'y nariyan, nasa unahan mo lamang. Magmadali kayo ngayon, sapagkat kararating pa lamang niya sa bayan sapagkat ang bayan ay may handog ngayon sa mataas na dako."
"Dida han adlaw han waray pa aabot hi Saul, nagsiring na an Ginoo kan Samuel,","Pagpasok ninyo sa bayan, agad ninyo siyang matatagpuan bago siya umahon sa mataas na dako upang kumain. Sapagkat ang taong-bayan ay hindi kakain hanggang sa siya'y dumating, sapagkat kailangang basbasan niya ang handog. Pagkatapos ay kumakain ang mga inanyayahan. Kaya nga lumakad na kayo sapagkat sa oras na ito'y inyong madadatnan siya.”"
"“Buwas han mga sugad hini nga takna pakakadtoon ko ha imo in usa ka tawo nga sakop han tribo ni Benjamin; dihogi hiya nga pangulo han akon mga tawo nga Israel, kay hiya an magtatalwas han Israel ha mga Filisteohanon. Hinkit-an ko an pag-antos han akon mga tawo, ngan hinbatian ko an ira mga pangaro hin pakibulig.”","Kaya't sila'y pumunta sa bayan. Pagpasok nila sa bayan, nasalubong nila si Samuel na papaakyat sa mataas na dako."
"Han paghikit-i ni Samuel kan Saul, nagsiring ha iya an Ginoo , “Amo ini an tawo nga akon iginsumat ha imo. Hiya an maghahadi han akon mga tawo.”","Nang araw bago dumating si Saul, ipinahayag ng Panginoon kay Samuel:"
"Niyan gindaop ni Saul hi Samuel nga nakada hirani han ganghaan, ngan nagpakiana hiya “Sumati daw ako, hain ba pag-uokoy an paratigo?”","“Bukas sa ganitong oras ay susuguin ko sa iyo ang isang lalaki mula sa lupain ng Benjamin, at iyong bubuhusan siya ng langis upang maging pinuno sa aking bayang Israel. Ililigtas niya ang aking bayan sa kamay ng mga Filisteo; sapagkat aking nakita ang paghihirap ng aking bayan, dahil ang kanilang daing ay umabot sa akin.”"
"Binmaton hi Samuel, “Amo ako an paratigo. Pag-una kamo ha akon ngadto han dapit hin pagsingba. Makikigsaro ako ha iyo yana nga adlaw. Buwas han aga babatonon ko an ngatanan niyo nga mga pakiana ngan palalakton ko kamo.","Nang makita ni Samuel si Saul ay sinabi ng Panginoon sa kanya, “Narito ang lalaki na aking sinabi sa iyo! Siya ang magkakaroon ng kapangyarihan sa aking bayan.”"
"Mahitungod han mga asno nga nawara hin tulo na ka adlaw, ayaw kamo kabaraka hini; hin-agian na ini. Kundi hin-o gud an kinakaruyag, han mga tawo han Israel? Hi ikaw—ikaw ngan an panimalay han imo amay.”","Pagkatapos ay lumapit si Saul kay Samuel sa pintuang-bayan, at sinabi, “Hinihiling ko sa iyo na sabihin mo sa akin kung saan naroon ang bahay ng nakakakita ng pangitain.”"
"Binmaton hi Saul, “Sakop ako han tribo ni Benjamin nga amo an gigugutiayi nga tribo han Israel, ngan an akon panimalay amo an giuubosi han tribo ni Benjamin. Sanglit kay ano nga naghihimangraw ka ha akon hin sugad hini?”","Sumagot si Samuel kay Saul, “Ako ang tagakita; mauna kang umahon sa akin sa mataas na dako, sapagkat kakain kang kasalo ko ngayon, at sa kinaumagahan ay pauuwiin na kita at sasabihin ko sa iyo ang lahat ng nasa isip mo."
"Niyan gindara ni Samuel hira Saul ngan an iya surugoon ngadto han dako nga kwarto, ngan iginhatag ha ira an syahan nga lingkoran ha lamesa diin nagkakalingkod an mga dinapit nga mga 30 ka tawo ngatanan.",Tungkol sa iyong mga asno na tatlong araw nang nawawala ay huwag mong alalahanin sapagkat natagpuan na. At para kanino ba ang lahat ng kanais-nais sa Israel? Hindi ba para sa iyo at sa buong sambahayan ng iyong ama?”
"Nagsiring hi Samuel han paraluto, “Dad-a ngadi an karne nga akon iginpalain ha imo hin pagluto.”","Si Saul ay sumagot, “Hindi ba ako'y isang Benjaminita, mula sa pinakamaliit na lipi ng Israel? At hindi ba ang aking angkan ang pinakahamak sa mga angkan ng lipi ng Benjamin? Bakit ka nagsasalita sa akin sa ganitong paraan?”"
"Sanglit gindara han paraluto an pinili nga bahin han paa ngan igindurot ini kan Saul. Nagsiring hi Samuel, “Kitaa, iini an bahin han karne nga gin-andam para ha imo. Kaona ini. Ginggahin ko ini para ha imo basi kaonon mo hini nga takna kaupod han mga tawo nga akon gindapit.” Sanglit kinmaon hi Saul upod kan Samuel hito nga adlaw.","Kaya't ipinagsama ni Samuel si Saul at ang kanyang lingkod at ipinasok niya sila sa kabahayan, at binigyan sila ng lugar sa pangunahing upuan kasama ng mga naanyayahan, na may tatlumpung katao."
"Linmugsong hira ngadto han bungto tikang han dapit hin pagsingba. Gin-andaman nira hi Saul hin higdaan didto han atop,","Sinabi ni Samuel sa tagapagluto, “Dalhin mo rito ang bahagi na ibinigay ko sa iyo, na siyang aking sinabi sa iyo, ‘Ibukod mo ito.’”"
ngan didto hiya kinmaturog.,"Kaya't kinuha ng tagapagluto ang hita at ang bahaging itaas at inilagay sa harapan ni Saul. At sinabi ni Samuel, “Tingnan mo, ang itinabi ay inilagay sa harap mo. Kainin mo sapagkat ito ay iningatan para sa iyo hanggang sa takdang panahon sapagkat aking sinabi, na inanyayahan ko ang bayan.” Kaya't kumain si Saul na kasalo ni Samuel nang araw na iyon."
"Han maagahon pa gintawag ni Samuel hi Saul, “Bangon na. Magpapagikan ako ha imo.” Binmangon hi Saul, ngan nagbunyog hira nga duha ngadto han kalsada.","Nang sila'y makalusong sa lunsod mula sa mataas na dako, isang higaan ang inilatag para kay Saul sa bubungan ng bahay at siya'y humiga upang matulog."
"Han pag-abot nira ha ligid han bungto, nagsiring hi Samuel kan Saul, “Paunha ha aton an surugoon.” Linmakat an surugoon, ngan nagpadayon hi Samuel, “Hulat anay dinhe, ngan susumatan ko ikaw han iginsiring han Dyos.”","At sa pagbubukang-liwayway, tinawag ni Samuel si Saul sa bubungan, “Bangon, upang mapahayo na kita.” Si Saul ay bumangon at kapwa sila lumabas ni Samuel."
"Niyan kinmuha hi Samuel hin usa ka tibod nga lana hin olibo ngan iginbubo ini han ulo ni Saul, hinadkan hiya, ngan nagsiring, “Gindidihogan ka han Ginoo nga hadi han iya nasod Israel. Paghahadian mo an iya mga tawo ngan pananalipdan mo hira ha ngatanan nira nga mga kaaway. Ngan amo ini an tigaman nga ginpili ka han Ginoo nga hadi han iya mga tawo:","Nang magkagayo'y kinuha ni Samuel ang sisidlan ng langis at ibinuhos ang langis sa ulo ni Saul at hinagkan siya; at sinabi, “Hindi ba hinirang ka ng Panginoon upang maging pinuno sa kanyang mana?"
"Kon bumulag ka ha akon yana nga adlaw, igkakasugat mo in duha ka tawo hirani han lubnganan ni Raquel didto ha Selsa, ha katunaan ni Benjamin. Susumatan ka nira nga hin-agian na an mga asno nga iyo ginbibiniling, sanglit diri na kinahanglan mabaraka an imo amay hiunong hini kundi mabaraka lugod hiya hiunong ha imo, ngan waray hunong an pakiana niya, ‘Ano daw la an akon bubuhaton han akon anak?’","Pag-alis mo sa akin ngayon, masasalubong mo ang dalawang lalaki sa tabi ng libingan ni Raquel, sa nasasakupan ng Benjamin sa Selsa; sasabihin nila sa iyo, ‘Ang mga asno na iyong hinahanap ay natagpuan na at ngayon ay hindi na inaalala ng iyong ama ang mga asno at ang inaalala ay kayo na sinasabi, “Ano ang aking gagawin sa aking anak?”’"
"Magpapadayon ka tubtob pag-abot mo han baraan nga kahoy didto ha Tabor, diin igkakasugat mo in tulo ka tawo nga tikadto hin paghalad ngadto han Dyos didto ha Betel. Magtutugway hin tulo nga nati nga mga kanding an usa ha ira, magdadara hin tulo ka bug-os nga tinapay an ikaduha, ngan magbibitbit hin supot nga anit nga puno hin bino an ikatulo.","Kung magkagayo'y magpapatuloy ka mula roon, at darating ka sa ensina ng Tabor. Masasalubong ka roon ng tatlong lalaki na paahon sa Diyos sa Bethel; ang isa'y may dalang tatlong batang kambing, ang isa'y may dalang tatlong tinapay, at ang isa'y may dalang isang balat na sisidlan ng alak."
Makikighimangraw hira ha imo ngan ihahatag ha imo in duha ka bug-os nga tinapay ngan imo ini kakarawton.,Babatiin ka nila at bibigyan ka ng dalawang tinapay na iyong tatanggapin mula sa kanila.
"Niyan, mapakadto ka ha Pungtod han Dyos didto ha Gabaa diin aadto in usa nga kampo hin mga Filisteohanon. Dida han aragian ngadto han bungto igkakatapo ka hin usa ka hugpo hin mga manaragna nga tilugsong tikang ha altar didto han pungtod nga nagtotokar hin mga arpa, mga gimbal, mga plawta ngan mga lira. Magsisinaragyaw ngan maggiginogliat hira.","Pagkatapos ay darating ka sa burol ng Diyos na kinaroroonan ng isang himpilan ng mga Filisteo. Pagdating mo sa lunsod, makakasalubong ka ng isang pangkat ng mga propeta na lumulusong mula sa mataas na dako, na may alpa, pandereta, plauta, at lira sa harap nila; na nagpapahayag ng propesiya."
"Ha gilayon gagamhan ka han espiritu han Ginoo , ngan maapi ka han ira sarayaw ngan gogliat, ngan maiiba ka na nga tawo.","Pagkatapos, ang Espiritu ng Panginoon ay makapangyarihang lulukob sa iyo, at magsasalita ka ng propesiya na kasama nila at magiging ibang lalaki."
"Kon mahinabo na ini nga mga butang, buhata an bisan ano nga ipapagbuhat ha imo han Dyos.","Kapag ang mga tandang ito ay nangyari sa iyo, gawin mo ang anumang nakikita mong nararapat sapagkat ang Diyos ay kasama mo."
"Mag-uuna ka ha akon ngadto ha Gilgal, diin makikigkita ako ha imo ngan maghahalad hin mga halad nga tutuboron nga mga halad hin pagdait. Hulat didto hin pito ka adlaw ngada han akon pag-abot ngan susumatan ko ikaw han imo pagbubuhaton.”","Ikaw ay lulusong na una sa akin sa Gilgal; at, ako'y darating sa iyo upang maghandog ng mga handog na sinusunog, at mag-alay ng mga alay na handog pangkapayapaan. Maghihintay ka ng pitong araw hanggang sa ako'y dumating sa iyo at ipapakita ko sa iyo kung ano ang iyong gagawin.”"
"Han pagbaya na ni Saul kan Samuel, ginbag-o han Dyos an kasingkasing ni Saul. Ngan nahinabo hito nga adlaw an ngatanan nga iginsumat ha iya ni Samuel.",Nang siya ay tumalikod upang iwan si Samuel ay binigyan siya ng Diyos ng ibang puso; at ang lahat na mga tandang ito ay nangyari sa araw na iyon.
"Han pag-abot na ha Gabaa ni Saul ngan han iya surugoon, gintapo hiya hin usa ka hugpo hin mga manaragna. Ha gilayon gingamhan hiya han espiritu han Dyos ngan nanagna hiya upod ha ira.","Pagdating nila sa Gibea, isang pangkat ng mga propeta ang sumalubong sa kanya; at ang Espiritu ng Diyos ay makapangyarihang sumakanya, at siya'y nagsalita ng propesiya kasama nila."
"An mga tawo nga iya hadto mga kilala kinmita han ira ginbubuhat, ngan naggiparupakiana hira, “Ano ba an nahinabo han anak ni Cis? Usa ba hi Saul han mga manaragna?”","Nang makita ng lahat ng nakakakilala sa kanya nang una kung paano siya magsalita ng propesiya kasama ng mga propeta, ang bayan ay nagsabi sa isa't isa, “Ano itong nangyari sa anak ni Kish? Si Saul ba ay isa na rin sa mga propeta?”"
"Nagpakiana in usa ka tawo didto hito nga dapit, “Ano man ini nga iba nga mga manaragna—hin-o man ha iyo paghunahuna an ira mga amay?” Amo ini an tinikangan han darahonon, “Nahimo na ba nga usa nga manaragna hi Saul?”","Isang lalaking taga-roon ang sumagot at nagsabi, “At sino ang kanilang ama?” Kaya't naging kasabihan, “Si Saul ba ay isa na rin sa mga propeta?”"
"Han katapos ni Saul hin pagpanagna, kinmadto hiya han altar didto han pungtod.","Nang siya'y makatapos makapagsalita ng propesiya, siya'y pumunta sa isang mataas na dako."
"Nakakita ha iya ngan han iya surugoon an bata ni Saul, ngan ginpakianhan hira, “Tikang kamo diin?”","Sinabi ng tiyo ni Saul sa kanya at sa kanyang lingkod, “Saan kayo pumunta?” At kanyang sinabi, “Upang hanapin ang mga asno at nang ito ay hindi namin matagpuan ay pumunta kami kay Samuel.”"
"Binmaton hi Saul, “Nagpinamiling kami han mga asno. Han waray kami pakakaagi hini, nakigkita kami kan Samuel.”","Sinabi ng tiyo ni Saul, “Sabihin mo sa akin kung ano ang sinabi ni Samuel sa inyo.”"
"Pinmakiana an bata ni Saul, “Ngan ano man an iya iginsumat ha iyo?”","Sinabi ni Saul sa kanyang tiyo, “Sinabi niyang maliwanag sa amin na ang mga asno ay natagpuan na.” Ngunit tungkol sa bagay ng kaharian na sinabi ni Samuel, hindi niya iyon sinabi sa kanya."
"Binmaton hi Saul, “Ginsumatan kami nga hin-agian na an mga hayop,”—kundi waray niya pagsumati an iya bata han iginsiring ni Samuel hiunong han iya pagkahimo nga hadi.",At tinipon ni Samuel ang bayan sa Panginoon sa Mizpa
"Gintawag ni Samuel an mga tawo didto ha Mispa basi magtirok ha atubangan han Ginoo,","at sinabi niya sa mga anak ni Israel, “Ganito ang sabi ng Panginoon , ng Diyos ng Israel, ‘Iniahon ko ang Israel mula sa Ehipto, at pinalaya ko kayo sa kamay ng mga taga-Ehipto, at sa kamay ng lahat ng mga kaharian na nagpahirap sa inyo.’"
"ngan nagsiring ha ira, “Nasiring an Ginoo nga Dyos han Israel, ‘Gindara ko kamo tikang ha Ehipto ngan gintalwas ko kamo tikang han mga Ehiptohanon ngan han ngatanan nga iba nga mga tawo nga nagraogdaog ha iyo.","Ngunit itinakuwil ninyo sa araw na ito ang inyong Diyos na nagligtas sa inyo mula sa lahat ng inyong kapahamakan at mga kapighatian. Sinabi ninyo sa kanya, ‘Hindi, kundi maglagay ka sa amin ng isang hari.’ Ngayon nga'y humarap kayo sa Panginoon ayon sa inyu-inyong mga lipi, at ayon sa inyong mga libu-libo.”"
"Ako amo an iyo Dyos nga nagtatalwas ha iyo ha ngatanan niyo nga kasamokan ngan kakurian, kundi iginsalikway ako niyo yana nga adlaw, ngan naghangyo kamo ha akon nga tagan ko kamo hin usa nga hadi. Sanglit maupay nga magpurupundok kamo ha atubangan han Ginoo pinaagi han iyo mga tribo ngan han iyo mga banay.’”","Sa gayo'y pinalapit ni Samuel ang lahat ng mga lipi, at ang lipi ni Benjamin ang nakuha sa palabunutan."
"Niyan ginpadaop ni Samuel an kada tribo, ngan ginpili han Ginoo an tribo ni Benjamin.",Kanyang inilapit ang lipi ni Benjamin ayon sa kanyang mga angkan; at ang angkan ni Matri ay siyang napili. Si Saul na anak ni Kish ay siyang napili ngunit nang kanilang hanapin siya ay hindi natagpuan.
"Niyan ginpadaop ni Samuel an mga panimalay han tribo ni Benjamin, ngan napili an panimalay ni Matri. Niyan dinmaop an kalalaken-an han panimalay ni Matri, ngan napili hi Saul nga anak ni Cis. Ginbiling hiya nira, kundi han waray hira makaagi ha iya,","Kaya't muli nilang itinanong sa Panginoon , “May lalaki pa bang pupunta rito?” At ang Panginoon ay sumagot, “Tingnan mo, siya'y nagtago sa mga dala-dalahan.”"
"nagpakiana hira han Ginoo , “May-ada pa ba iba?”","Sila'y tumakbo at kanilang kinuha siya mula roon. Nang siya'y tumayo sa gitna ng taong-bayan, siya ay mas mataas kaysa sinuman sa taong-bayan, mula sa kanyang mga balikat pataas."
"Binmaton an Ginoo , “Aadto hi Saul, natago ha luyo han mga pinutos.”","Sinabi ni Samuel sa buong bayan, “Nakikita ba ninyo siya na pinili ng Panginoon ? Walang gaya niya sa buong bayan.” Ang buong bayan ay sumigaw at nagsabi, “Mabuhay ang hari!”"
"Sanglit nagdadlagan hira ngan ira gindara hi Saul ha atubangan han mga tawo. Ngan han pagtukdaw, dayag kaupay nga hitaas hiya kay an iba tubtob la ha iya sugbong.","Pagkatapos ay sinabi ni Samuel sa taong-bayan ang mga karapatan at katungkulan ng hari; at isinulat niya sa isang aklat at inilagay sa harap ng Panginoon . Pinauwi ni Samuel ang buong bayan, bawat tao sa kanyang bahay."
"Nagsiring hi Samuel han mga tawo, “Iini an tawo nga ginpili han Ginoo ! Waray gud usa dinhe ha aton nga masugad ha iya!”",Si Saul man ay umuwi sa kanyang bahay sa Gibea; at humayong kasama niya ang mga mandirigma na ang mga puso ay kinilos ng Diyos.
"Nanggogliat an ngatanan nga mga tawo, “Mabuhi an hadi!”","Ngunit sinabi ng ilang hamak na tao, “Paano tayo ililigtas ng taong ito?” At kanilang hinamak siya at hindi nila dinalhan ng kaloob. Ngunit siya'y hindi umimik."
"Paglabay hin mga usa ka bulan ginpangulohan ni Hadi Nahas han Amon an iya kasondalohan hin pagsulong han bungto han Jabes didto han katunaan han Galaad ngan ira ini ginpalibotan. Nagsiring an mga tawo han Jabes kan Nahas, “Pakigsabot ha amon, ngan mag-aalagad kami ha imo.”","Pagkalipas ng halos isang buwan sumalakay si Nahas na Ammonita at kinubkob ang Jabes-gilead; at sinabi kay Nahas ng lahat ng lalaki sa Jabes, “Makipagkasundo ka sa amin, at kami ay maglilingkod sa iyo.”"
"Binmaton hi Nahas, “Maghihimo ako hin usa nga ginsaaran ha iyo dida hin usa nga kondisyon: lulukaton ko an ngatanan nga tuo nga mata niyo, basi pagpakaalohan ko an bug-os nga Israel.”","Ngunit sinabi ni Nahas na Ammonita sa kanila, “Makikipagkasundo ako sa inyo kung ipadudukit ninyo sa akin ang inyong mga kanang mata upang mailagay sa kahihiyan ang buong Israel.”"
"Nagsiring an mga pangulo han Jabes, “Tagi kami hin pito ka adlaw hin pagpadara hin mga surugoon pagpasabot han bug-os nga tuna han Israel. Kon waray magtalwas ha amon, ma-ampo na la kami ha imo.”","At sinabi sa kanya ng matatanda ng Jabes, “Bigyan mo kami ng palugit na pitong araw upang kami ay makapagpadala ng mga sugo sa buong nasasakupan ng Israel. At kung wala ngang magliligtas sa amin, ibibigay namin ang aming sarili sa iyo.”"
"Inmabot an mga surugoon ha Gabaa diin nag-ukoy hi Saul. Han pagsumati nira han mga tawo hiunong han nahinabo, nagtangis hira tungod hin kahulop.","Nang dumating sa Gibea ang mga sugo kay Saul, ibinalita nila ang bagay na ito sa pandinig ng taong-bayan at ang buong bayan ay umiyak nang malakas."
"Naabot pa gud la hi Saul tikang ha uma dara an iya kabakahan, ngan nagpakiana hiya, “Ano ini? Kay ano nga nananangis man an mga tawo?” Ira ginsumatan hiya han iginsumat han mga surugoon nga tikang ha Jabes.","Noon, si Saul ay dumarating mula sa bukid sa hulihan ng mga baka; at sinabi ni Saul, “Anong nangyayari sa taong-bayan at sila'y umiiyak?” Kaya't kanilang sinabi sa kanya ang balita ng mga lalaki mula sa Jabes."
"Han pakabati hini ni Saul, napakada ha iya an espiritu han Dyos, ngan duro gud an iya kasina.","At ang Espiritu ng Diyos ay makapangyarihang lumukob kay Saul nang kanyang marinig ang mga salitang iyon, at ang kanyang galit ay lubhang nag-alab."
"Kinmuha hiya hin duha nga baka nga iya gin-ihaw ngan gin-atado. Ginpadara hin mga surugoon ini nga mga inatado ngadto han bug-os nga tuna han Israel upod ini nga pahimatngon: “An diri bumunyog kan Saul ug Samuel ngadto ha pag-awayan, susugaron hini an pag-atado han iya kabakahan!”","Siya'y kumuha ng dalawang magkatuwang na baka at kanyang kinatay, at ipinadala niya ang mga piraso sa lahat ng nasasakupan ng Israel sa pamamagitan ng mga sugo, na sinasabi, “Sinumang hindi lumabas upang sumunod kina Saul at Samuel ay ganito rin ang gagawin sa kanyang mga baka.” At ang takot sa Panginoon ay dumating sa mga tao, at sila'y lumabas na parang iisang tao."
"Nahadlok an mga tawo han Israel han pagbubuhaton han Ginoo , ngan nagkagawas hira ngatanan.","Nang kanyang tipunin sila sa Bezec, ang mga anak ni Israel ay tatlongdaang libo, at ang mga lalaki ng Juda ay tatlumpung libo."
"Gintirok hira ni Saul didto ha Bezek: may-ada 300,000 tikang ha Israel ngan 30,000 tikang ha Juda.","At sinabi nila sa mga sugong dumating, “Ganito ang inyong sasabihin sa mga lalaki sa Jabes-gilead, ‘Bukas, sa kainitan ng araw ay magkakaroon ng kaligtasan.’” Nang dumating ang mga sugo at sabihin sa mga lalaki sa Jabes, sila ay natuwa."
"Ginsiring nira an mga sinugo tikang ha Jabes, “Sumati an iyo mga tawo nga diri pa maudto buwas matatalwas na hira.” Han pakakarawat han mga tawo han Jabes han mensahe nalipay gud hira,","Kaya't sinabi ng mga lalaki sa Jabes, “Bukas ay ibibigay namin ang aming sarili sa inyo at maaari ninyong gawin sa amin ang lahat ng inaakala ninyong mabuti sa inyo.”"
"ngan nagsiring hira kan Nahas, “Buwas matubyan kami ha imo, ngan buhata an imo karuyag ha amon.”","Kinabukasan, inilagay ni Saul ang taong-bayan sa tatlong pangkat. Sila'y pumasok sa gitna ng kampo nang mag-umaga na, at pinatay ang mga Ammonita hanggang sa kainitan ng araw. Ang mga nalabi ay nangalat, anupa't walang dalawang naiwang magkasama."
"Pagkabuwas han aga ginbahin ni Saul an iya mga tawo hin tulo ka hugpo, ngan han maagahon pa nagdagmit nira ngadto han kampo han kaaway, ngan ginsulong nira an mga Amonitanhon. Han pagkaudto pinamatay na nira an ira mga kaaway. Nagsarang an nanhibilin nga buhi ngan may hindadlagan na la an kada usa.","At sinabi ng taong-bayan kay Samuel, “Sino ba ang nagsabi, ‘Maghahari ba si Saul sa amin?’ Dalhin dito ang mga taong iyon upang aming patayin sila.”"
"Niyan nagsiring an mga tawo han Israel kan Samuel, “Hain na an mga tawo nga nagsiring nga diri angay maghadi ha aton hi Saul? Igtubyan hira ha amon ngan pamamatayon namon hira.”","Ngunit sinabi ni Saul, “Walang taong papatayin sa araw na ito, sapagkat ngayo'y gumawa ang Panginoon ng pagliligtas sa Israel.”"
"Kundi nagsiring hi Saul, “Waray tawo nga papatayon yana nga adlaw, kay amo ini an adlaw nga gintalwas han Ginoo an Israel.”","Nang magkagayo'y sinabi ni Samuel sa taong-bayan, “Halikayo at tayo'y pumunta sa Gilgal, at doon ay ating ibabalik ang kaharian.”"
"Ngan nagsiring ha ira hi Samuel, “Pakadto kita ngatanan ha Gilgal ngan hin makausa pa igsangyaw ta hi Saul nga aton hadi.”",At ang buong bayan ay pumunta sa Gilgal at doo'y ginawa nilang hari sa Gilgal si Saul sa harapan ng Panginoon . Doon ay nag-alay sila ng handog pangkapayapaan sa harapan ng Panginoon . Si Saul at ang lahat ng mga lalaki ng Israel ay labis na nagalak doon.
"Niyan nagsiring hi Samuel han mga tawo han Israel, “Gintuman ko na an iyo ginhangyo ha akon. Iginhatag ko ha iyo in usa nga hadi nga mamumuno ha iyo,","Sinabi ni Samuel sa buong Israel, “Narito, aking pinakinggan ang inyong tinig sa lahat ng inyong sinabi sa akin, at naglagay ako ng isang hari para sa inyo."
"ngan yana hiya an maghahadi ha iyo. Para ha akon, lagas na ako ngan ubanon na, ngan kaupod niyo an akon mga anak nga kalalaken-an. Nagpangulo ako ha iyo tikang han akon pagkabatan-on ngada yana.","Tingnan ninyo, ang hari ang nangunguna sa inyo ngayon. Ako'y matanda na at ubanin, ngunit ang aking mga anak ay kasama ninyo. Nanguna ako sa inyo mula sa aking kabataan hanggang sa araw na ito."
